id,Name,Language,FullName,Description,URL,Website,Stars,Created At
429383799,car-rental,Blade,aadhar41/car-rental,car rental project build in Laravel 8,https://github.com/aadhar41/car-rental,,1,2021-11-18T10:19:04Z
1146405927,charulekh-prakashan,HTML,aadhar41/charulekh-prakashan,"Charulekh Prakashan is a Jaipur-based publisher and supplier of devotional books, spiritual products, and incense items. With over 34 years of experience, we have built an enviable reputation in the spiritual publishing industry across India.",https://github.com/aadhar41/charulekh-prakashan,,1,2026-01-31T03:33:40Z
999395869,charulekh-prakashan-html,HTML,aadhar41/charulekh-prakashan-html,Charulekh Prakashan Website HTML Template,https://github.com/aadhar41/charulekh-prakashan-html,,1,2025-06-10T07:29:23Z
440559876,chat-app,CSS,aadhar41/chat-app,"A modern, real-time chat application built with Node.js, Socket.io, and Bootstrap that brings people together through instant messaging.",https://github.com/aadhar41/chat-app,https://chat-app-o089.onrender.com/,3,2021-12-21T15:15:28Z
233347220,chatroom-php-mysql-ratchet,PHP,aadhar41/chatroom-php-mysql-ratchet,"General Chat application build in PHP, mysql, ratchet library..http://socketo.me/docs/install",https://github.com/aadhar41/chatroom-php-mysql-ratchet,,2,2020-01-12T06:12:07Z
1122295741,color-generator,CSS,aadhar41/color-generator,A React application that generates tints and shades of a given color. Users can input a hex color code to generate a palette and copy color values to the clipboard with a single click.,https://github.com/aadhar41/color-generator,https://color-generator-reactjs-app.netlify.app/,2,2025-12-24T12:47:40Z
658376883,css-our-services,HTML,aadhar41/css-our-services,Project 2 - Our Services Responsive Grid,https://github.com/aadhar41/css-our-services,,2,2023-06-25T15:10:09Z
1138946285,dark-mode,JavaScript,aadhar41/dark-mode,This is a simple React application that demonstrates how to implement a dark mode feature.,https://github.com/aadhar41/dark-mode,https://dark-mode-reactjs.netlify.app/,2,2026-01-21T10:15:17Z
655210471,day-1,HTML,aadhar41/day-1,Designing HTML and CSS Collapse Panel / Expending Cards,https://github.com/aadhar41/day-1,,1,2023-06-18T08:15:56Z
655232236,day-2,JavaScript,aadhar41/day-2,03 Day 2 - Progress Steps HTML and CSS,https://github.com/aadhar41/day-2,,1,2023-06-18T09:42:37Z
731997948,events-management-app,PHP,aadhar41/events-management-app,"The Events Management App is a robust web application designed to simplify the organization, scheduling, and management of events. Built with Laravel, this app offers intuitive features for event planners and participants alike, ensuring seamless coordination and hassle-free event management.",https://github.com/aadhar41/events-management-app,,3,2023-12-15T11:36:50Z
1164579899,github-users,JavaScript,aadhar41/github-users,,https://github.com/aadhar41/github-users,,2,2026-02-23T08:48:32Z
1125076113,grocery-bud,CSS,aadhar41/grocery-bud,"A sleek and responsive React application designed to help you manage your grocery list efficiently. With built-in local storage persistence, your items remain saved even after a page refresh.",https://github.com/aadhar41/grocery-bud,https://grocery-budreact.netlify.app/,2,2025-12-30T05:30:32Z
1139914397,hacker-news,JavaScript,aadhar41/hacker-news,"A modern React application for searching and browsing Hacker News stories with an intuitive interface. Search for articles, view story details, and navigate through results with smooth pagination.",https://github.com/aadhar41/hacker-news,https://hacker-news-article.netlify.app/,2,2026-01-22T15:29:04Z
670698574,hidden-search-widget,HTML,aadhar41/hidden-search-widget,Day 4 - Hidden Search Widget,https://github.com/aadhar41/hidden-search-widget,,2,2023-07-25T16:18:57Z
184966597,itemapi,PHP,aadhar41/itemapi,A laravel backend api system.,https://github.com/aadhar41/itemapi,,1,2019-05-05T02:14:27Z
722645218,jsdsa,JavaScript,aadhar41/jsdsa,Javascript DSA,https://github.com/aadhar41/jsdsa,,2,2023-11-23T15:41:05Z
383444428,laravel-8-adminlte,Blade,aadhar41/laravel-8-adminlte,"Laravel 8 Adminlte Blank Panel Integrated with, Sanctum For API, telescope For Debugging, Vue Js For Frontend.  Basic Admin Panel Setup for Laravel",https://github.com/aadhar41/laravel-8-adminlte,,1,2021-07-06T11:27:35Z
382599404,laravel-8-sanctrum,PHP,aadhar41/laravel-8-sanctrum,A Basic Laravel 8 Application for laravel sanctrum API Authuntication.,https://github.com/aadhar41/laravel-8-sanctrum,,1,2021-07-03T11:33:20Z
437024855,laravel-admin,Blade,aadhar41/laravel-admin,Admin LTE 3 Implementation in Laravel 8 a basic admin panel setup with most common plugins added time to time.,https://github.com/aadhar41/laravel-admin,,1,2021-12-10T15:25:45Z
445814961,laravel-advance,PHP,aadhar41/laravel-advance,Advance features / Topics related to Laravel,https://github.com/aadhar41/laravel-advance,,1,2022-01-08T12:36:59Z
231034739,laravel-blog-admin,HTML,aadhar41/laravel-blog-admin,A basic admin panel build in laravel using AdminLTE 3 & laravel auth ( Journal controller contain image thumbnail code ) & multiple file upload is in ArticleController.php,https://github.com/aadhar41/laravel-blog-admin,,2,2019-12-31T05:57:37Z
479651206,laravel-blog-swagger,PHP,aadhar41/laravel-blog-swagger,Basic Laravel blog with passport authentication and swagger API documentation.,https://github.com/aadhar41/laravel-blog-swagger,,1,2022-04-09T07:22:59Z
260420276,laravel-datatable,PHP,aadhar41/laravel-datatable,The repository contain laravel framework with integrated datatable ( yajra-datatable ) & it uses database custom seeder to seed/insert data into table. i have used a custom database seeder (UserSeeder) to seed data into user table & i have also used faker library for seeding fake data in table. This is just a basic example how you can use yajara-datatable & You can create Your own table seeder to insert fake/dummy data in table.,https://github.com/aadhar41/laravel-datatable,,1,2020-05-01T09:18:44Z
711992752,laravel-payments,PHP,aadhar41/laravel-payments,Payment Gateways Implementation With Laravel,https://github.com/aadhar41/laravel-payments,,2,2023-10-30T15:24:01Z
445741699,laravel-playground,PHP,aadhar41/laravel-playground,Projects Includes various Laravel features Currently E-Mail Functionality.,https://github.com/aadhar41/laravel-playground,,1,2022-01-08T06:23:17Z
380164343,laravel-qa,PHP,aadhar41/laravel-qa,Full Stack Laravel QA Application Development Laravel 8 (Stack Overflow Clone),https://github.com/aadhar41/laravel-qa,,1,2021-06-25T07:48:28Z
265881800,laravel-qa-old,PHP,aadhar41/laravel-qa-old,"A full-featured Question & Answer application built with Laravel 7, designed for developers who want to create a community-driven Q&A platform similar to Stack Overflow. This project provides a solid foundation for building interactive Q&A websites with user authentication, question management, and answer functionality.",https://github.com/aadhar41/laravel-qa-old,,2,2020-05-21T15:18:27Z
730502565,laravel-task-list,PHP,aadhar41/laravel-task-list,"Laravel Task List is a streamlined task management application built using the Laravel framework. It helps users organize, track, and manage their daily tasks efficiently with an intuitive UI and robust backend functionalities.",https://github.com/aadhar41/laravel-task-list,,2,2023-12-12T04:12:59Z
471669640,laravel-test,JavaScript,aadhar41/laravel-test,"Laravel TDD ( Test driven development ), Laracasts Clone ( Laravel and VueJs )",https://github.com/aadhar41/laravel-test,,1,2022-03-19T11:02:33Z
733822530,laravel10-Blog,PHP,aadhar41/laravel10-Blog,"A comprehensive Laravel 10 practice repository featuring authentication, blog functionality, real-time events, and modern development practices. Perfect for learning Laravel 10 features, implementing best practices, and building production-ready applications. | Laravel 10  Personal Blog",https://github.com/aadhar41/laravel10-Blog,,2,2023-12-20T07:55:17Z
993801619,laravel12,PHP,aadhar41/laravel12,"Laravel Event, Listener, Jobs and Queue with Email sending. ",https://github.com/aadhar41/laravel12,,1,2025-05-31T14:56:12Z
1155052389,laravel12-react,JavaScript,aadhar41/laravel12-react,,https://github.com/aadhar41/laravel12-react,,2,2026-02-11T04:16:24Z
732621692,livewire-poll-app,PHP,aadhar41/livewire-poll-app,"07 - Project #4 - Livewire Poll App | A real-time polling application built with Laravel and Livewire. This application allows users to create polls and vote on them instantly without page reloads, demonstrating the power of the TALL stack ecosystem (Tailwind, Alpine.js, Laravel, Livewire).",https://github.com/aadhar41/livewire-poll-app,,2,2023-12-17T09:52:38Z
1121619880,lorem-ipsum,CSS,aadhar41/lorem-ipsum,"A React application that generates various types of ""Lorem Ipsum"" text to spice up your placeholders. Instead of the standard boring Latin, choose from a variety of fun and unique text styles including Hipster, Zombie, Cat, and more!",https://github.com/aadhar41/lorem-ipsum,https://lorem-ipsum-gen-react.netlify.app/,2,2025-12-23T09:25:15Z
429381964,medical-recruitment,Blade,aadhar41/medical-recruitment,A medical staff recruitment web application build in Laravel 8,https://github.com/aadhar41/medical-recruitment,,1,2021-11-18T10:12:48Z
1108902984,MERN-Ecommerce-Site,HTML,aadhar41/MERN-Ecommerce-Site,"ShopIT is a full-featured e-commerce platform built with the MERN stack (MongoDB, Express.js, React.js, Node.js). It provides a robust backend API for managing products, users, orders, and authentication, making it a solid foundation for any online store.",https://github.com/aadhar41/MERN-Ecommerce-Site,,2,2025-12-03T04:24:29Z
996723427,mern-stack-backend,TypeScript,aadhar41/mern-stack-backend,Backend build in loopback4 for MERN Stack Project.,https://github.com/aadhar41/mern-stack-backend,,1,2025-06-05T11:16:20Z
1139633561,moview-db,JavaScript,aadhar41/moview-db,"A modern, responsive React application that allows users to search and explore movies using the OMDB API. Built with React 18, React Router, and Context API for efficient state management.",https://github.com/aadhar41/moview-db,https://movie-db-listing.netlify.app/,2,2026-01-22T08:01:39Z
617534768,news-application,JavaScript,aadhar41/news-application,MERN Stack News Application with Tailwind CSS,https://github.com/aadhar41/news-application,,2,2023-03-22T15:33:58Z
368590258,nodejs-chat-app,HTML,aadhar41/nodejs-chat-app,"Node.js Real-Time Chat Application is a simple yet powerful real-time chat application built using Node.js, Express, and Socket.io. This project demonstrates real-time communication between clients and server using WebSockets, allowing users to chat instantly without page refreshes.",https://github.com/aadhar41/nodejs-chat-app,https://adg-chat-app.herokuapp.com/,1,2021-05-18T16:01:55Z
718448198,object-oriented-programming-in-javascript,HTML,aadhar41/object-oriented-programming-in-javascript,,https://github.com/aadhar41/object-oriented-programming-in-javascript,,2,2023-11-14T05:04:27Z
708271950,portfolio-website,JavaScript,aadhar41/portfolio-website,"A comprehensive Content Management System (CMS) based Portfolio Builder built with Laravel. This application allows users to dynamically manage their portfolio website content, including Hero sections, About details, Services, Skills, Portfolio items, and more, all through a secure Admin Dashboard.",https://github.com/aadhar41/portfolio-website,,2,2023-10-22T03:32:18Z
700663741,portfolio-website-fundamental,PHP,aadhar41/portfolio-website-fundamental,Laravel - Build Complete Portfolio Website,https://github.com/aadhar41/portfolio-website-fundamental,,2,2023-10-05T03:36:13Z
1142591018,quiz,JavaScript,aadhar41/quiz,"A dynamic and interactive Quiz application built with React, leveraging the Open TDB API to provide a wide range of questions across various categories and difficulty levels.",https://github.com/aadhar41/quiz,https://react-quiz-mcq.netlify.app/,2,2026-01-26T15:57:28Z
1136882665,random-person,CSS,aadhar41/random-person,A dynamic and interactive React application that fetches and displays detailed information about random individuals using the Random User API.,https://github.com/aadhar41/random-person,https://random-person-contactcard.netlify.app/,2,2026-01-18T14:34:32Z
994737344,React-Agency-Portfolio,CSS,aadhar41/React-Agency-Portfolio,"A modern, responsive Single Page Application (SPA) built with React.js, based on the classic ""Agency"" theme. This project demonstrates a clean UI architecture with routing, form validation, and component-based structure.",https://github.com/aadhar41/React-Agency-Portfolio,,2,2025-06-02T12:04:45Z
992466689,react-calc,JavaScript,aadhar41/react-calc,Basic calculator build in reactJs,https://github.com/aadhar41/react-calc,,1,2025-05-29T07:45:50Z
1133298645,react-cart-usereducer,JavaScript,aadhar41/react-cart-usereducer,"A dynamic and responsive shopping cart application built using React. This project demonstrates modern front-end development practices, including state management, component-based architecture, and persistent data storage.",https://github.com/aadhar41/react-cart-usereducer,https://react-shoppingcart-reducer.netlify.app/,2,2026-01-13T06:44:20Z
1133620005,react-cocktails,JavaScript,aadhar41/react-cocktails,A simple React application that displays a list of cocktails and allows users to search for specific cocktails by name.,https://github.com/aadhar41/react-cocktails,https://cocktails-listing.netlify.app/,2,2026-01-13T15:41:42Z
1135469963,react-markdown-previewer,CSS,aadhar41/react-markdown-previewer,A simple and efficient React-based web application that allows users to write Markdown text and see the rendered HTML preview in real-time.,https://github.com/aadhar41/react-markdown-previewer,https://markdown-preview-react.netlify.app/,2,2026-01-16T06:24:16Z
364596090,react-meal-app,JavaScript,aadhar41/react-meal-app,A basic meal app using React and public api,https://github.com/aadhar41/react-meal-app,,2,2021-05-05T14:02:28Z
1118163353,react-menu,JavaScript,aadhar41/react-menu,"A React application that displays a food menu with filtering capabilities. Users can filter items by category (e.g., Breakfast, Lunch, Shakes).",https://github.com/aadhar41/react-menu,https://react-filter-menu.netlify.app/,2,2025-12-17T10:57:17Z
1137220325,react-pagination,CSS,aadhar41/react-pagination,A clean and interactive React application demonstrating efficient client-side pagination for large datasets. Features a responsive grid and intuitive navigation.,https://github.com/aadhar41/react-pagination,https://pagination-react-github.netlify.app/,2,2026-01-19T04:44:31Z
1127647308,react-sidebar-and-modal,CSS,aadhar41/react-sidebar-and-modal,A clean and interactive React application demonstrating advanced state management using the Context API and Custom Hooks. This project features a responsive sidebar and a smooth modal overlay system.,https://github.com/aadhar41/react-sidebar-and-modal,,2,2026-01-04T10:16:59Z
1117526611,react-tour,CSS,aadhar41/react-tour,"A React Application that fetches and displays a list of tours from an API, allowing users to remove tours they are not interested in.",https://github.com/aadhar41/react-tour,https://react-tourapplication.netlify.app/,2,2025-12-16T12:44:07Z
658385203,reactjs-listing-marketplace-application,JavaScript,aadhar41/reactjs-listing-marketplace-application,"ReactJS Listing Marketplace Application. A modern Listing Marketplace Application built with React.js. This application allows users to browse listings, view details, and create new property listings.",https://github.com/aadhar41/reactjs-listing-marketplace-application,,2,2023-06-25T15:34:44Z
502002218,real-time-single-page-app,PHP,aadhar41/real-time-single-page-app,"Real time single page application build in Laravel, Pusher, Vue Js",https://github.com/aadhar41/real-time-single-page-app,,1,2022-06-10T10:34:34Z
658344280,responsive-css3,CSS,aadhar41/responsive-css3,CSS3 and ReactJs,https://github.com/aadhar41/responsive-css3,,1,2023-06-25T13:29:19Z
1125842609,responsive-react-navbar,CSS,aadhar41/responsive-react-navbar,"A modern, high-performance, and fully responsive navigation bar component built with **React**. This component provides a seamless user experience across all devices, featuring a dynamic data-driven architecture for easy maintenance and scalability.",https://github.com/aadhar41/responsive-react-navbar,,2,2025-12-31T13:27:51Z
670683803,resume,HTML,aadhar41/resume,My resume,https://github.com/aadhar41/resume,,2,2023-07-25T15:40:42Z
1117959481,reviews,CSS,aadhar41/reviews,A React component that displays a rotating carousel of user reviews.,https://github.com/aadhar41/reviews,https://reactreviews-application.netlify.app/,2,2025-12-17T04:12:34Z
1126214998,safeVault-credential-manager,JavaScript,aadhar41/safeVault-credential-manager,"A secure, lightweight, and user-friendly credential management system designed to store and manage sensitive information such as passwords, API keys, and digital certificates.",https://github.com/aadhar41/safeVault-credential-manager,,2,2026-01-01T12:05:11Z
561857584,shop,PHP,aadhar41/shop,A core PHP Project of E-Commerce shop,https://github.com/aadhar41/shop,,2,2022-11-04T16:43:09Z
1120370826,slider,CSS,aadhar41/slider,A React application for displaying user reviews with an automatic slider and manual navigation controls.,https://github.com/aadhar41/slider,,2,2025-12-21T04:15:10Z
612508152,society-accounting,PHP,aadhar41/society-accounting,This repository contains the source code for a society services project built with Laravel PHP. The project aims to provide a platform for managing various services within a society or residential complex.,https://github.com/aadhar41/society-accounting,,2,2023-03-11T06:32:29Z
1138026926,stock-photos-infinite,JavaScript,aadhar41/stock-photos-infinite,A dynamic stock photo gallery built with React that leverages the Unsplash API to search and browse high-quality images with a seamless infinite scroll experience.,https://github.com/aadhar41/stock-photos-infinite,https://stock-photos-infinite.netlify.app/,2,2026-01-20T06:36:22Z
1130196599,Stripe-Menu-and-Submenu,JavaScript,aadhar41/Stripe-Menu-and-Submenu,"A high-fidelity recreation of Stripe's iconic, fluid navigation menu built with React and modern animation libraries.",https://github.com/aadhar41/Stripe-Menu-and-Submenu,https://stripe-menu.netlify.app/,2,2026-01-08T06:59:28Z
440573633,task-manager,JavaScript,aadhar41/task-manager,A Task Manager Project Build in NodeJs ( APIs ),https://github.com/aadhar41/task-manager,,1,2021-12-21T16:01:32Z
1076209121,url_shortner_jetstream,Blade,aadhar41/url_shortner_jetstream,"Robust Laravel URL shortener with SuperAdmin, Admin and Member roles. Features strict viewing and creation permissions, multi-tenancy via Companies, and non-publicly resolvable links.",https://github.com/aadhar41/url_shortner_jetstream,,2,2025-10-14T14:46:59Z
